Time,EUR_SEKreturn,Volatility
1,1.3814,0.005266333
2,1.3828,0.004099565
3,1.3838,0.001103671
4,1.3844,0.001100874
5,1.3808,-0.006604556
6,1.3870,4.29E-05
7,1.3867,0.012108029
8,1.3864,-0.004954781
9,1.3884,0.01269288
10,1.3924,0.012172931
11,1.3917,0.009115961
12,1.3864,-7.81E-05
13,1.3763,0.001481703
14,1.3760,-0.028888535
15,1.3711,0.006851775
16,1.3718,-0.017166044
17,1.3712,-0.017916971
18,1.3708,0.003977488
19,1.3716,0.009356874
20,1.3702,-0.029342447
21,1.3657,0.03277325
22,1.3652,0.005306954
23,1.3628,-0.065654664
24,1.3618,-0.038735574
25,1.3596,0.013264755
26,1.3608,0.019440913
27,1.3640,-0.016277491
28,1.3606,-0.056657934
29,1.3624,-0.025270544
30,1.3619,-0.04
31,1.3618,-0.006996521
32,1.3639,-0.085894988
33,1.3589,0.014479219
34,1.3543,0.036985246
35,1.3532,-0.048073509
36,1.3556,-0.041434909
37,1.3522,0.116685862
38,1.3578,-0.020501052
39,1.3543,0.037217464
40,1.3567,-0.024237161
41,1.3620,0.014564278
42,1.3586,0.026887517
43,1.3593,0.000983977
44,1.3588,-0.006336324
45,1.3638,-0.034512851
46,1.3610,-0.00601636
47,1.3631,0.00601636
48,1.3690,0.023878734
49,1.3681,0.059089242
50,1.3656,0.016626022
51,1.3610,-0.003851734
52,1.3604,0.003164377
53,1.3614,-0.008743508
54,1.3630,0.005983152
55,1.3600,0.013238073
56,1.3598,0.012683447
57,1.3620,0.014273748
58,1.3573,0.005435285
59,1.3530,0.018405494
60,1.3530,0.036825049
61,1.3515,0.007795936
62,1.3524,-0.002026156
63,1.3470,0.001576715
64,1.3462,0.01559026
65,1.3468,-0.004930012
66,1.3431,0.021611149
67,1.3440,0.014169059
68,1.3410,0.004742043
69,1.3378,-0.006807705
70,1.3390,-0.004899491
71,1.3436,0.028023591
72,1.3414,0.000961297
73,1.3366,-0.014171308
74,1.3355,0.004893066
75,1.3362,0.016439825
76,1.3412,0.002298558
77,1.3385,-0.007735151
78,1.3357,-0.001034172
79,1.3367,0.011130541
80,1.3376,0.017975391
81,1.3392,0.005877358
82,1.3358,-0.048379609
83,1.3320,0.002720386
84,1.3284,0.002781563
85,1.3284,0.032022867
86,1.3237,-0.000944198
87,1.3206,0.033232514
88,1.3189,0.006517798
89,1.3192,-0.000597562
90,1.3178,0.032504908
91,1.3150,0.010957622
92,1.3124,0.041695882
93,1.3136,-0.012352276
94,1.2926,-0.052777949
95,1.2956,0.022170108
96,1.2948,0.003273403
97,1.2909,0.028932811
98,1.2908,-0.005095991
99,1.2936,-0.062060776
100,1.2955,0.035312137
101,1.2951,0.032068492
102,1.2976,0.024475302
103,1.2958,0.033376744
104,1.2913,0.009254575
105,1.2835,-0.007763455
106,1.2829,0.033180564
107,1.2858,-0.004476717
108,1.2788,-0.009911451
109,1.2748,0.008057299
110,1.2686,0.002835248
111,1.2703,0.025319625
112,1.2628,0.006360119
113,1.2618,-0.020342638
114,1.2670,0.02
115,1.2517,0.002512226
116,1.2592,-0.023374966
117,1.2626,-0.024823584
118,1.2683,0.021878898
119,1.2683,0.026871244
120,1.2636,-0.006536649
121,1.2660,-0.003913271
122,1.2778,-0.008996923
123,1.2812,0.002299849
124,1.2755,0.01067491
125,1.2783,-0.004303728
126,1.2724,-0.016253345
127,1.2658,0.016904884
128,1.2658,0.029630336
129,1.2675,0.020314859
130,1.2712,0.04520777
131,1.2747,0.020180407
132,1.2762,0.007636905
133,1.2622,0.00984485
134,1.2530,0.011576404
135,1.2487,0.034713019
136,1.2554,0.022346073
137,1.2488,0.000286496
138,1.2414,-0.003973194
139,1.2422,-0.005986923
140,1.2425,-0.00336208
141,1.2456,0.00958292
142,1.2476,0.010800692
143,1.2494,0.006181853
144,1.2447,0.00653837
145,1.2534,0.005644639
146,1.2548,-0.006792876
147,1.2526,0.003020648
148,1.2394,0.005441162
149,1.2427,-0.012438785
150,1.2472,0.001106181
151,1.2503,-0.003181272
152,1.2438,0.020684291
153,1.2490,0.022079282
154,1.2390,0.012951911
155,1.2304,0.005500477
156,1.2432,0.005976807
157,1.2304,0.023912765
158,1.2292,0.00708507
159,1.2415,-0.002926552
160,1.2425,0.000393474
161,1.2397,0.011672495
162,1.2484,0.009963525
163,1.2470,0.003986413
164,1.2504,-0.02
165,1.2406,-0.013741099
166,1.2291,0.013433581
167,1.2235,-0.00703664
168,1.2252,0.002654797
169,1.2180,0.016474544
170,1.2188,0.016130897
171,1.2179,0.010556544
172,1.2174,0.002592291
173,1.2101,-0.002485586
174,1.2015,0.015023184
175,1.1918,0.001963149
176,1.1936,0.017736975
177,1.1820,-0.010540348
178,1.1811,0.015755932
179,1.1830,-0.002413098
180,1.1832,-0.004596982
181,1.1779,0.009181028
182,1.1806,0.013110202
183,1.1598,0.000793606
184,1.1517,-0.011936406
185,1.1559,-0.004156044
186,1.1584,0.008559055
187,1.1414,0.000424857
188,1.1279,-0.008329694
189,1.1290,-0.009006378
190,1.1370,-0.066927248
191,1.1342,0.004125996
192,1.1308,0.015157657
193,1.1290,0.034374044
194,1.1337,0.010337442
195,1.1462,0.000870839
196,1.1418,0.00355589
197,1.1432,-0.004999167
198,1.1330,0.011104024
199,1.1316,0.005451706
200,1.1316,-0.002765741
201,1.1300,-0.001491134
202,1.1410,-0.003238073
203,1.1408,-0.007010766
204,1.1395,0.000524554
205,1.1342,0.001983948
206,1.1392,-0.007239921
207,1.1372,-0.000118948
208,1.1346,0.007205887
209,1.1307,0.010202838
210,1.1363,0.00377273
211,1.1212,0.010207004
212,1.1197,0.000425445
213,1.1190,-0.005167483
214,1.1212,-0.018325897
215,1.1070,-0.00592042
216,1.1006,-0.00497001
217,1.0855,-0.009793731
218,1.0846,-0.015156581
219,1.0707,0.000720886
220,1.0576,-0.006719239
221,1.0615,-0.000138417
222,1.0524,0.003300088
223,1.0575,-0.007882796
224,1.0605,-0.027366997
225,1.0643,-0.03119352
226,1.0621,-0.015482641
227,1.0792,0.026815258
228,1.0928,0.00016709
229,1.0908,0.036479828
230,1.0986,0.020851739
231,1.0919,0.031904345
232,1.0891,0.01019934
233,1.0818,0.010129751
234,1.0741,-0.011407193
235,1.0768,0.008298004
236,1.0874,0.000261403
237,1.0990,0.008308518
238,1.1008,-0.002691686
239,1.0850,0.000103174
240,1.0818,0.020075196
241,1.0671,0.020982865
242,1.0598,-0.010200543
243,1.0582,-0.006510364
244,1.0672,0.000974283
245,1.0596,0.013761166
246,1.0742,-0.00529634
247,1.0780,0.014454615
248,1.0763,-0.003770518
249,1.0758,0.010238114
250,1.0729,-0.001427253
251,1.0803,0.008374669
